Altium Designer Pick and Place Locations
C:\bi4wms\projects\amateur\pet\发板工程\revA\PetFeederCTL_revA (2023-10-10 11-30-10)\Project Outputs for ST-Cortex-M4\Pick Place for PetFeederCTL_revB.csv

========================================================================================================================
File Design Information:

Date:       13/10/23
Time:       16:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P107","Header 4","TopLayer","HDR1X4","86.528","1579.748","90","Header, 4-Pin"
"S103","SW-PB","TopLayer","KEY-4.5","1707.236","908.472","180","KEY"
"Q104","SS8050","TopLayer","SOT23-3","294.072","782.150","0","NPN三极管"
"Q103","AO3401A","TopLayer","SOT23-3","1076.850","777.930","90","P-Channel MOSFET"
"Q102","SS8050","TopLayer","SOT23-3","602.070","782.850","180","NPN三极管"
"P106","ECB01H2","TopLayer","ECB01H2","569.748","1151.472","0","Header, 4-Pin"
"D105","BAT54C","TopLayer","SOT23-3","1216.150","1369.070","270","Dual Diode Command Cathode"
"C124","0.1uF","TopLayer","CAP0603N","909.244","833.472","0",""
"BT101","MS621FE-FL11E","TopLayer","MS621FE-FL11E","1061.748","1372.472","0",""
"LED101","61-238/RSGCBKC-B02/ET","TopLayer","LED_5050","344.020","1485.707","0","5050三基色LED"
"BZ101","HYT-0903","TopLayer","BUZ-TH_BD9.0-P5.00-D0.6-FD","549.154","501.130","90","BUZZER"
"P101","Header 4","TopLayer","4PIN-1.25","1220.431","1828.859","180","Header, 4-Pin"
"D104","B5819WS","TopLayer","SOD_323","1050.088","1650.528","180",""
"R153","1K","TopLayer","RES0603N","1941.528","510.213","90","Resistor SMD"
"D103","POWER","TopLayer","LED0603","2005.000","508.500","270","Blue 603 LED"
"L101","10uH","TopLayer","COIL4*4MM","1082.753","365.412","270",""
"J101","PWR2.5","TopLayer","DCJACK2.5","1591.953","596.340","0","Low Voltage Power Supply Connector"
"R162","0R","TopLayer","RES0603N","2707.787","1428.472","0","Resistor SMD"
"R161","NC/100K","TopLayer","RES0603N","2707.787","1491.528","180","Resistor SMD"
"R160","4K7","TopLayer","RES0603N","2204.709","1394.528","180","Resistor SMD"
"R157","20K","TopLayer","RES0603N","2204.709","1267.528","180","Resistor SMD"
"R156","30K","TopLayer","RES0603N","2204.709","1330.528","180","Resistor SMD"
"R155","1K","TopLayer","RES0603N","2707.787","1360.528","180","Resistor SMD"
"R154","1K","TopLayer","RES0603N","2707.787","1284.426","180","Resistor SMD"
"R148","10K","TopLayer","RES0603N","1793.528","1854.851","90","Resistor SMD"
"R147","10K","TopLayer","RES0603N","659.535","1586.001","180","Resistor SMD"
"R146","10K","TopLayer","RES0603N","660.103","1671.111","180","Resistor SMD"
"R144","NC/10K","TopLayer","RES0603N","2195.213","403.472","0","Resistor SMD"
"R143","10K","TopLayer","RES0603N","2507.472","271.755","270","Resistor SMD"
"R142","1K","TopLayer","RES0603N","2438.972","271.755","90","Resistor SMD"
"R141","1R","TopLayer","RES1206","2691.173","440.000","0","Resistor SMD"
"R140","1R","TopLayer","RES1206","2692.173","612.000","0","Resistor SMD"
